TransactionID,DateID,ProductID,SupplierID,LocationID,LogisticsID,QualityID,CustomerID,Availability,ProductsSold,RevenueGenerated,StockLevels,OrderQuantity,SupplierLeadTime,ShippingTime,ShippingCost,SupplyLeadTime,ProductionVolume,ManufacturingLeadTime,ManufacturingCost,DefectRate,TransportationCost
TRX-000044,20250926,SKU-1148,SUP-004,LOC-011,LOG-081,QLT-01,CUST-0205,1,73,762.34,1232,101,23,1,385.37,31,2003,9,426.88,1.52,146.79
TRX-000045,20230406,SKU-1007,SUP-036,LOC-002,LOG-061,QLT-01,CUST-0288,0,713,46961.68,2201,721,19,9,639.56,28,1060,8,19782.86,20.25,1391.87
TRX-000046,20250228,SKU-1229,SUP-013,LOC-014,LOG-028,QLT-03,CUST-0263,1,680,41735.48,2303,922,20,5,1803.57,27,2783,20,29230.64,8.98,3072.24
TRX-000047,20231219,SKU-1199,SUP-018,LOC-004,LOG-078,QLT-01,CUST-0076,1,588,2902.57,1883,764,8,7,2502.57,21,2775,20,2204.91,10.67,2615.27
TRX-000048,20251011,SKU-1049,SUP-033,LOC-007,LOG-052,QLT-01,CUST-0424,1,866,42312.06,2239,977,10,13,2555.85,27,750,17,29349.57,6.76,738.35
TRX-000049,20250517,SKU-1066,SUP-021,LOC-002,LOG-013,QLT-01,CUST-0143,1,96,591.65,1138,124,17,12,458.65,32,3284,14,375.98,13.63,199.34
TRX-000050,20240816,SKU-1245,SUP-016,LOC-021,LOG-034,QLT-01,CUST-0315,1,713,34669.84,1815,901,5,3,2821.68,10,1294,6,26161.41,14.36,1162.49
TRX-000051,20260528,SKU-1043,SUP-015,LOC-014,LOG-067,QLT-03,CUST-0369,1,152,7850.85,1178,234,30,7,536.58,40,4946,16,4046.61,2.47,241.25
TRX-000052,20240201,SKU-1124,SUP-005,LOC-007,LOG-004,QLT-03,CUST-0085,1,98,2684.0,840,101,10,10,341.9,27,516,11,1541.82,7.88,285.89
TRX-000053,20260102,SKU-1057,SUP-006,LOC-009,LOG-044,QLT-01,CUST-0396,1,829,31061.58,2292,979,24,4,3613.5,35,1251,5,20897.34,4.24,685.44
TRX-000054,20240513,SKU-1002,SUP-038,LOC-008,LOG-015,QLT-01,CUST-0252,1,209,2272.43,38,288,26,13,769.98,46,4333,8,1781.91,1.62,347.21
TRX-000055,20251225,SKU-1085,SUP-003,LOC-009,LOG-084,QLT-01,CUST-0333,1,631,62446.83,1699,675,12,14,876.57,32,2905,8,24951.71,3.67,504.26
TRX-000056,20260717,SKU-1069,SUP-012,LOC-007,LOG-008,QLT-03,CUST-0232,1,684,17619.26,2198,750,5,12,2259.32,18,1492,2,8290.7,2.64,1549.75
TRX-000057,20240521,SKU-1129,SUP-036,LOC-019,LOG-005,QLT-01,CUST-0426,1,88,3329.2,793,111,13,3,87.06,16,2038,7,1450.72,4.48,54.2
TRX-000058,20250714,SKU-1214,SUP-033,LOC-017,LOG-066,QLT-01,CUST-0295,1,711,36061.87,2169,807,22,1,1874.09,24,577,20,21177.55,14.96,1037.12
TRX-000059,20230527,SKU-1171,SUP-036,LOC-026,LOG-092,QLT-01,CUST-0319,1,710,44646.06,901,775,20,9,623.43,30,4291,20,19153.6,10.54,2681.23
TRX-000060,20250131,SKU-1001,SUP-033,LOC-023,LOG-086,QLT-01,CUST-0130,1,257,10405.37,1353,381,28,5,239.71,35,3159,16,7296.46,7.78,168.62
TRX-000061,20241118,SKU-1101,SUP-031,LOC-013,LOG-073,QLT-01,CUST-0285,1,751,6313.47,1325,920,23,13,1343.96,39,1631,5,5138.09,4.33,2957.05
TRX-000062,20230406,SKU-1208,SUP-021,LOC-011,LOG-092,QLT-01,CUST-0317,1,178,13514.08,1077,208,29,12,690.96,43,3424,11,8145.13,5.41,322.04
TRX-000063,20250608,SKU-1034,SUP-027,LOC-022,LOG-046,QLT-02,CUST-0496,0,433,44062.56,284,462,22,11,1335.5,33,2770,20,21375.19,2.78,650.45
TRX-000064,20241006,SKU-1097,SUP-027,LOC-018,LOG-065,QLT-03,CUST-0029,1,269,8146.67,1931,336,20,1,261.96,21,3275,19,3160.97,12.64,796.22
TRX-000065,20260514,SKU-1214,SUP-008,LOC-017,LOG-066,QLT-01,CUST-0228,1,411,20177.07,2484,573,19,4,1023.18,26,4617,4,13573.86,6.98,1869.13
TRX-000066,20230822,SKU-1029,SUP-037,LOC-028,LOG-026,QLT-03,CUST-0294,1,584,56078.96,1871,852,18,1,2697.65,20,3211,20,46066.06,9.66,783.54
TRX-000067,20241113,SKU-1115,SUP-032,LOC-016,LOG-031,QLT-01,CUST-0007,1,352,36581.93,1338,362,23,7,612.67,32,668,15,17844.62,2.22,490.66
TRX-000068,20231127,SKU-1007,SUP-026,LOC-010,LOG-051,QLT-01,CUST-0030,1,614,37191.57,1049,730,26,14,2788.07,46,2701,13,24879.62,6.54,1400.3
TRX-000069,20240427,SKU-1149,SUP-002,LOC-004,LOG-041,QLT-01,CUST-0215,1,56,1158.36,2067,76,22,3,300.73,28,4740,10,812.09,5.24,254.7
TRX-000070,20260405,SKU-1043,SUP-012,LOC-030,LOG-051,QLT-01,CUST-0115,1,933,52367.21,1322,960,7,12,558.09,23,2155,12,14428.62,9.2,3130.05
TRX-000071,20251002,SKU-1185,SUP-022,LOC-004,LOG-019,QLT-02,CUST-0476,0,513,29648.01,1612,527,6,13,1101.76,20,2070,9,17416.15,20.34,885.05
TRX-000072,20240514,SKU-1035,SUP-017,LOC-022,LOG-095,QLT-01,CUST-0440,1,808,69287.6,1152,888,20,10,2070.01,32,2538,3,30708.86,31.01,381.3
TRX-000073,20250406,SKU-1196,SUP-007,LOC-011,LOG-073,QLT-03,CUST-0215,0,684,20398.09,668,981,25,3,3674.07,29,1884,16,13560.05,8.38,1373.47
TRX-000074,20250118,SKU-1076,SUP-004,LOC-021,LOG-003,QLT-01,CUST-0164,1,320,30943.7,2029,415,18,6,781.33,31,1498,18,19768.73,4.31,566.29
TRX-000075,20250119,SKU-1220,SUP-037,LOC-025,LOG-038,QLT-01,CUST-0170,1,458,13207.86,1804,457,16,9,352.07,32,4950,12,3841.67,13.9,1346.84
TRX-000076,20230404,SKU-1030,SUP-038,LOC-008,LOG-070,QLT-01,CUST-0221,1,270,21228.41,804,387,27,2,681.56,34,586,6,15712.57,14.34,695.25
TRX-000077,20260418,SKU-1046,SUP-032,LOC-009,LOG-045,QLT-02,CUST-0260,1,425,34589.56,130,457,16,11,1023.91,28,2433,20,18111.03,12.71,387.98
TRX-000078,20231216,SKU-1248,SUP-011,LOC-016,LOG-071,QLT-01,CUST-0212,1,94,7087.63,2401,125,16,1,147.67,17,4683,9,4050.81,18.72,223.58
TRX-000079,20260616,SKU-1054,SUP-001,LOC-010,LOG-041,QLT-01,CUST-0261,1,475,41922.14,1614,717,9,10,1357.58,24,293,5,33482.71,11.24,1556.84
TRX-000080,20230722,SKU-1207,SUP-025,LOC-023,LOG-025,QLT-03,CUST-0302,1,114,5492.54,2040,124,26,9,87.27,40,4441,2,2464.6,23.32,110.93
TRX-000081,20230802,SKU-1105,SUP-024,LOC-009,LOG-089,QLT-01,CUST-0331,1,232,1913.35,2260,308,9,1,1173.06,16,4539,19,1567.54,13.91,256.88
TRX-000082,20260713,SKU-1189,SUP-017,LOC-003,LOG-050,QLT-01,CUST-0130,1,384,5135.64,1081,406,8,10,1076.61,25,1207,19,2939.48,16.26,1229.72
TRX-000083,20230417,SKU-1157,SUP-008,LOC-025,LOG-001,QLT-01,CUST-0105,0,449,23498.44,1908,564,25,12,2118.12,43,2133,19,14989.05,1.3,623.26
TRX-000084,20250430,SKU-1120,SUP-027,LOC-002,LOG-054,QLT-01,CUST-0054,1,246,7428.3,1697,334,12,11,1056.57,28,620,2,6549.84,5.57,280.45
TRX-000085,20240109,SKU-1054,SUP-018,LOC-009,LOG-086,QLT-03,CUST-0108,1,471,52210.37,961,465,12,8,1040.63,20,749,2,25087.12,10.2,189.78
TRX-000086,20260718,SKU-1143,SUP-027,LOC-013,LOG-084,QLT-02,CUST-0472,1,81,5559.69,2498,103,26,4,154.47,31,3745,13,2634.01,9.78,155.49
TRX-000087,20251124,SKU-1011,SUP-022,LOC-006,LOG-013,QLT-01,CUST-0315,1,478,29629.9,95,471,13,9,1204.7,29,2514,2,10137.05,6.71,311.84
TRX-000088,20240630,SKU-1144,SUP-016,LOC-004,LOG-040,QLT-01,CUST-0289,1,281,1906.43,42,272,19,2,582.38,26,2139,4,527.75,6.93,861.63
TRX-000089,20251021,SKU-1143,SUP-002,LOC-028,LOG-021,QLT-03,CUST-0255,0,397,26112.59,1531,489,22,11,257.73,36,2107,13,15932.45,31.06,849.95
TRX-000090,20240712,SKU-1139,SUP-005,LOC-014,LOG-087,QLT-02,CUST-0278,1,826,19580.84,766,882,29,13,2406.86,46,748,16,7947.4,1.44,2243.49
TRX-000091,20260206,SKU-1135,SUP-018,LOC-028,LOG-041,QLT-01,CUST-0047,1,638,3900.35,1293,790,7,7,2736.51,20,114,3,2667.18,7.52,858.03
TRX-000092,20260208,SKU-1211,SUP-003,LOC-029,LOG-061,QLT-01,CUST-0134,1,647,3882.86,49,710,30,3,2577.31,35,1570,10,989.07,16.62,2385.86
TRX-000093,20260622,SKU-1002,SUP-027,LOC-011,LOG-033,QLT-02,CUST-0024,1,766,9249.37,553,799,12,7,2388.43,22,988,3,2773.62,10.15,1532.4
TRX-000094,20260721,SKU-1143,SUP-017,LOC-002,LOG-073,QLT-01,CUST-0477,1,545,42178.94,532,602,5,4,1265.67,14,2903,9,16479.58,5.07,2095.19
TRX-000095,20251115,SKU-1029,SUP-016,LOC-029,LOG-029,QLT-03,CUST-0433,1,608,62562.13,1167,795,6,2,1551.83,15,4606,18,38739.69,15.11,1578.87
TRX-000096,20231112,SKU-1236,SUP-006,LOC-026,LOG-055,QLT-01,CUST-0480,1,449,38753.82,1494,581,22,8,1186.21,33,4496,2,22924.14,11.3,185.44
TRX-000097,20241019,SKU-1022,SUP-007,LOC-003,LOG-032,QLT-01,CUST-0117,1,293,8460.14,1812,295,16,7,1040.6,28,4186,16,3262.03,6.38,803.04
TRX-000098,20231115,SKU-1091,SUP-014,LOC-005,LOG-011,QLT-01,CUST-0239,1,543,18043.38,1657,621,6,8,1439.45,16,1725,15,6534.39,16.05,685.34
TRX-000099,20240706,SKU-1114,SUP-038,LOC-025,LOG-052,QLT-01,CUST-0478,1,772,14789.62,1855,764,15,4,579.9,25,1775,5,4390.43,10.46,2394.71
TRX-000100,20241222,SKU-1103,SUP-040,LOC-007,LOG-036,QLT-01,CUST-0494,1,414,22373.02,708,507,30,1,1082.87,33,2394,7,18510.34,20.65,641.53
TRX-000101,20251202,SKU-1117,SUP-015,LOC-011,LOG-093,QLT-01,CUST-0382,1,175,14345.63,2052,232,19,3,769.85,25,2514,17,7393.46,25.93,611.08
TRX-000102,20250105,SKU-1004,SUP-033,LOC-012,LOG-031,QLT-01,CUST-0307,0,275,11684.44,643,308,28,4,421.96,32,457,8,7628.54,8.71,907.66
TRX-000103,20260810,SKU-1211,SUP-027,LOC-029,LOG-014,QLT-01,CUST-0374,0,689,3640.64,401,685,11,8,2057.35,23,2605,14,984.5,9.31,419.24
TRX-000104,20260627,SKU-1103,SUP-029,LOC-011,LOG-063,QLT-01,CUST-0041,1,795,53948.52,1062,935,14,5,1246.5,20,1230,9,15637.87,11.47,3012.33
TRX-000105,20250915,SKU-1247,SUP-037,LOC-019,LOG-052,QLT-02,CUST-0250,1,242,24720.93,2344,319,19,7,895.12,32,2677,20,19439.59,3.57,894.34
TRX-000106,20241119,SKU-1107,SUP-005,LOC-013,LOG-054,QLT-03,CUST-0323,1,636,4461.43,1062,862,8,4,1977.32,17,1945,2,2844.8,1.87,932.87
TRX-000107,20240229,SKU-1064,SUP-029,LOC-004,LOG-050,QLT-01,CUST-0089,1,555,28617.32,1711,670,17,9,1458.27,31,1555,10,24395.02,3.64,1041.18
TRX-000108,20241224,SKU-1120,SUP-032,LOC-014,LOG-089,QLT-02,CUST-0092,1,396,13985.07,1011,400,11,12,1163.56,24,3013,16,4033.52,10.19,614.03
TRX-000109,20260426,SKU-1029,SUP-006,LOC-012,LOG-054,QLT-02,CUST-0377,1,602,53042.45,877,788,20,8,1718.95,31,2136,12,44027.47,26.68,2564.3
TRX-000110,20231221,SKU-1148,SUP-002,LOC-027,LOG-090,QLT-01,CUST-0463,1,206,2555.3,2328,237,17,11,687.08,28,4851,10,1324.17,14.55,707.47
TRX-000111,20240821,SKU-1083,SUP-006,LOC-002,LOG-086,QLT-01,CUST-0081,1,396,15200.96,543,551,8,11,2096.16,24,920,19,7362.28,9.46,1796.11
TRX-000112,20231108,SKU-1197,SUP-004,LOC-030,LOG-073,QLT-01,CUST-0130,1,214,4348.05,1294,226,23,2,348.85,27,1785,4,2867.88,7.45,375.14
TRX-000113,20240920,SKU-1149,SUP-029,LOC-008,LOG-087,QLT-02,CUST-0091,1,368,6727.23,868,442,12,6,263.36,22,2633,12,3516.21,20.71,1074.72
TRX-000114,20240727,SKU-1209,SUP-025,LOC-022,LOG-084,QLT-01,CUST-0100,1,363,14161.98,2078,487,24,7,1160.72,33,1239,14,7915.76,20.47,1295.74
TRX-000115,20240903,SKU-1199,SUP-009,LOC-019,LOG-035,QLT-01,CUST-0078,1,844,4374.84,1138,887,10,1,1315.98,12,1015,6,3002.91,10.51,2611.01
TRX-000116,20260325,SKU-1230,SUP-003,LOC-013,LOG-030,QLT-01,CUST-0043,1,374,19288.01,1852,398,11,10,934.38,27,502,9,7940.04,15.2,1227.25
TRX-000117,20251126,SKU-1031,SUP-026,LOC-021,LOG-055,QLT-01,CUST-0123,1,576,40804.81,2125,869,16,11,2328.09,28,1380,5,26953.75,9.49,2727.91
TRX-000118,20250226,SKU-1160,SUP-027,LOC-021,LOG-094,QLT-01,CUST-0288,1,448,14768.27,131,543,22,12,1359.76,39,3293,9,6919.74,1.73,368.58
TRX-000119,20240630,SKU-1244,SUP-036,LOC-028,LOG-086,QLT-01,CUST-0396,1,99,6275.5,2491,112,11,8,307.77,22,2826,20,2930.48,5.81,190.97
TRX-000120,20231220,SKU-1015,SUP-032,LOC-001,LOG-001,QLT-01,CUST-0023,0,606,28278.1,954,806,23,12,1496.53,36,378,11,14341.37,5.12,1653.38
TRX-000121,20260709,SKU-1203,SUP-001,LOC-029,LOG-015,QLT-01,CUST-0144,0,154,6283.98,2063,229,5,5,529.33,15,3665,17,4623.56,5.77,82.94
TRX-000122,20230119,SKU-1037,SUP-016,LOC-005,LOG-025,QLT-01,CUST-0428,1,445,14650.08,1222,583,24,6,1250.6,32,627,4,8012.6,9.57,658.51
TRX-000123,20251028,SKU-1243,SUP-011,LOC-022,LOG-020,QLT-01,CUST-0258,1,358,3275.13,576,360,22,9,477.11,35,1390,18,2112.96,9.53,408.45
TRX-000124,20250222,SKU-1225,SUP-026,LOC-026,LOG-071,QLT-01,CUST-0007,1,529,33735.11,478,674,20,11,1488.0,32,1259,11,27366.63,5.63,968.58
TRX-000125,20260216,SKU-1141,SUP-040,LOC-026,LOG-016,QLT-01,CUST-0277,1,153,1248.55,60,159,24,10,562.97,34,4112,11,757.2,1.73,500.15
TRX-000126,20240401,SKU-1035,SUP-001,LOC-027,LOG-052,QLT-01,CUST-0186,1,525,55164.36,216,564,21,7,923.98,29,2366,15,16732.26,1.2,1155.51
TRX-000127,20250714,SKU-1224,SUP-026,LOC-011,LOG-087,QLT-02,CUST-0095,1,317,7785.59,1491,307,24,7,837.38,36,1377,14,3151.77,12.99,753.36
TRX-000128,20251029,SKU-1150,SUP-028,LOC-011,LOG-085,QLT-02,CUST-0407,1,747,67799.39,1527,748,16,8,669.63,27,3363,6,23678.25,0.54,2339.63
TRX-000129,20260406,SKU-1113,SUP-009,LOC-013,LOG-065,QLT-01,CUST-0382,1,604,20085.55,2476,589,15,3,383.55,24,2761,17,12151.3,20.25,1373.92
TRX-000130,20250814,SKU-1236,SUP-022,LOC-002,LOG-084,QLT-01,CUST-0444,1,309,25291.74,855,470,18,13,1851.62,35,2679,3,17449.49,6.71,799.96
TRX-000131,20240705,SKU-1065,SUP-008,LOC-019,LOG-083,QLT-01,CUST-0377,1,228,15709.78,578,297,18,3,456.76,22,799,13,8922.92,4.86,708.28
TRX-000132,20250426,SKU-1104,SUP-027,LOC-016,LOG-070,QLT-01,CUST-0025,1,501,10843.11,811,502,30,2,1700.77,38,1927,3,6230.66,8.74,1223.75
TRX-000133,20230924,SKU-1084,SUP-039,LOC-026,LOG-096,QLT-03,CUST-0291,1,46,4347.25,2173,58,17,4,213.33,27,839,19,2127.48,7.95,108.81
TRX-000134,20231125,SKU-1001,SUP-019,LOC-005,LOG-001,QLT-01,CUST-0227,0,503,20567.46,2152,751,15,2,1363.15,24,4520,16,10136.93,15.7,2526.67
TRX-000135,20251105,SKU-1218,SUP-025,LOC-014,LOG-094,QLT-01,CUST-0173,1,344,27352.2,1613,337,9,1,180.79,17,3335,13,15858.08,8.05,463.45
TRX-000136,20231008,SKU-1248,SUP-038,LOC-029,LOG-016,QLT-01,CUST-0135,1,427,32132.27,814,514,22,7,840.45,36,3214,19,13719.44,14.63,1626.16
TRX-000137,20251001,SKU-1200,SUP-021,LOC-019,LOG-027,QLT-02,CUST-0453,1,83,5239.46,316,124,25,13,435.75,42,2045,11,3151.24,6.3,55.05
TRX-000138,20240422,SKU-1192,SUP-024,LOC-005,LOG-018,QLT-01,CUST-0288,1,115,6157.38,349,151,30,2,534.94,34,3717,4,5031.17,3.04,375.87
TRX-000139,20260813,SKU-1074,SUP-024,LOC-021,LOG-077,QLT-01,CUST-0309,1,555,29514.3,1214,560,5,4,2080.49,14,684,19,11904.13,7.5,1537.07
TRX-000140,20250920,SKU-1066,SUP-019,LOC-024,LOG-044,QLT-01,CUST-0069,1,328,2051.91,1220,340,16,1,1137.58,19,404,10,915.74,7.8,225.73
TRX-000141,20230306,SKU-1179,SUP-002,LOC-026,LOG-050,QLT-01,CUST-0281,1,637,38661.31,409,608,19,10,668.27,33,1276,5,8537.46,14.83,1935.98
TRX-000142,20230609,SKU-1189,SUP-014,LOC-009,LOG-092,QLT-03,CUST-0351,1,795,9990.98,2028,963,27,5,2071.4,39,4208,4,4643.11,4.95,2459.21
TRX-000143,20260414,SKU-1150,SUP-032,LOC-024,LOG-074,QLT-01,CUST-0468,1,460,37459.27,602,597,26,12,1207.61,45,3518,7,32102.49,11.27,490.59
TRX-000144,20260222,SKU-1153,SUP-032,LOC-012,LOG-014,QLT-01,CUST-0342,1,497,29288.86,2322,708,24,5,1593.1,30,2063,12,13525.32,2.79,1847.93
TRX-000145,20230316,SKU-1195,SUP-028,LOC-016,LOG-052,QLT-03,CUST-0358,1,132,2576.71,2245,172,5,3,441.13,9,3621,20,1803.36,14.56,483.03
TRX-000146,20240706,SKU-1209,SUP-039,LOC-019,LOG-093,QLT-03,CUST-0333,1,521,20159.01,2281,714,18,2,1291.77,22,4074,20,8553.9,3.43,855.55
TRX-000147,20240519,SKU-1054,SUP-040,LOC-015,LOG-075,QLT-01,CUST-0231,1,439,45338.22,361,479,11,6,1380.28,18,542,20,19671.78,27.01,1261.72
TRX-000148,20250531,SKU-1005,SUP-040,LOC-017,LOG-050,QLT-01,CUST-0386,1,349,20416.74,2218,365,11,1,223.87,14,3380,18,10289.54,0.68,812.58
TRX-000149,20240726,SKU-1162,SUP-013,LOC-030,LOG-091,QLT-02,CUST-0342,1,165,1684.24,1313,170,15,8,517.33,30,3253,9,794.1,10.54,430.31
TRX-000150,20260304,SKU-1149,SUP-012,LOC-015,LOG-017,QLT-02,CUST-0317,1,267,5492.64,1372,281,17,13,665.27,35,2562,15,2460.86,12.0,795.59
